zip|type|decommissioned|primary_city|acceptable_cities|unacceptable_cities|state|county|timezone|area_codes|world_region|country|latitude|longitude|irs_estimated_population
33197|PO BOX|0|Miami|Quail Heights||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|1154
33198|STANDARD|0|Miami|Doral|Reshipper|FL||America/New_York|305, 786|NA|US|25.77|-80.2|0
33199|UNIQUE|0|Miami||Flinternational Univ, Florida International Univ|FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|37
33206|UNIQUE|0|Miami||Aeropost, Coral Gables|FL||America/New_York|786|NA|US|25.72|-80.26|0
33222|PO BOX|0|Miami|Doral||FL|Miami-Dade County|America/New_York|786|NA|US|25.93|-80.23|107
33231|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|283
33233|PO BOX|0|Miami||Coconut Gr|FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|496
33234|PO BOX|0|Miami|Coral Gables|C Gables, Coral Gbls, Gables|FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|283
33238|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|981
33239|PO BOX|0|Miami Beach|Carl Fisher, Miami||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|193
33242|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|888
33243|PO BOX|0|Miami|South Miami||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|514
33245|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|594
33247|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|1158
33255|PO BOX|0|Miami|Ludlam||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|447
33256|PO BOX|0|Miami|Kendall, Pinecrest|Village Of Pinecrest|FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|823
33257|PO BOX|0|Miami|Perrine||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|373
33261|PO BOX|0|Miami|North Miami|Biscayne Park, Keystone Islands|FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|988
33265|PO BOX|0|Miami|Olympia Heights, Olympia Hgts||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|993
33266|PO BOX|0|Miami|Miami Springs||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|485
33269|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|938
33280|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|274
33283|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|1154
33296|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|314
33299|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|387
33301|STANDARD|0|Fort Lauderdale|Ft Lauderdale||FL|Broward County|America/New_York|754, 954|NA|US|26.12|-80.13|16930
33302|PO BOX|0|Fort Lauderdale|Ft Lauderdale||FL|Broward County|America/New_York|754|NA|US|26.14|-80.13|1000
33303|PO BOX|0|Fort Lauderdale|Ft Lauderdale||FL|Broward County|America/New_York|754|NA|US|26.14|-80.13|279
33304|STANDARD|0|Fort Lauderdale|Ft Lauderdale, Oakland Park||FL|Broward County|America/New_York|754, 954|NA|US|26.14|-80.13|16030
33305|STANDARD|0|Fort Lauderdale|Ft Lauderdale, Lazy Lake, Oakland Park, Wilton Manors||FL|Broward County|America/New_York|754, 954|NA|US|26.15|-80.12|9730
33306|STANDARD|0|Fort Lauderdale|Ft Lauderdale, Oakland Park, Wilton Manors||FL|Broward County|America/New_York|754, 954|NA|US|26.17|-80.11|3080
33307|PO BOX|0|Fort Lauderdale|Ft Lauderdale, Oakland Park||FL|Broward County|America/New_York|754|NA|US|26.14|-80.13|760
33308|STANDARD|0|Fort Lauderdale|Ft Lauderdale, Laud By Sea, Lauderdale By The Sea, Oakland Park, Sea Ranch Lakes, Sea Ranch Lks||FL|Broward County|America/New_York|754, 954|NA|US|26.19|-80.1|25420
33309|STANDARD|0|Fort Lauderdale|Ft Lauderdale, Laud Lakes, Lauderdale Lakes, Oakland Park, Tamarac|North Lauderdale|FL|Broward County|America/New_York|754, 954|NA|US|26.19|-80.17|35150
33310|PO BOX|0|Fort Lauderdale|Ft Lauderdale, Oakland Park||FL|Broward County|America/New_York|754|NA|US|26.14|-80.13|1777
33311|STANDARD|0|Fort Lauderdale|Ft Lauderdale, Laud Lakes, Lauderdale Lakes, Lauderhill, Oakland Park, Plantation, Wilton Manors||FL|Broward County|America/New_York|754, 954|NA|US|26.14|-80.17|61030
33312|STANDARD|0|Fort Lauderdale|Davie, Ft Lauderdale, Lauderhill|Lauderdale Isles|FL|Broward County|America/New_York|754, 954|NA|US|26.09|-80.18|45430
33313|STANDARD|0|Fort Lauderdale|City Of Sunrise, Ft Lauderdale, Laud Lakes, Lauderdale Lakes, Lauderhill, Plantation, Sunrise|Ldhl|FL|Broward County|America/New_York|754, 954|NA|US|26.15|-80.23|53120
33314|STANDARD|0|Fort Lauderdale|Davie, Ft Lauderdale|Dania Beach|FL|Broward County|America/New_York|754, 954|NA|US|26.07|-80.22|22940
33315|STANDARD|0|Fort Lauderdale|Ft Lauderdale||FL|Broward County|America/New_York|754, 954|NA|US|26.09|-80.15|10930
